category,id,field1,field2,field3,field4,field5,field6
course,1,B.Tech CSE (Computer Science Engineering),4,750000,Dr. Anil Sharma,200,Bangalore/Hyderabad/Pune
course,2,B.Tech IT (Information Technology),4,700000,Dr. Priya Mehta,180,Mumbai/Chennai/Noida
course,3,B.Tech ECE (Electronics & Communication),4,680000,Dr. Ravi Verma,150,Delhi/Bengaluru/Hyderabad
course,4,B.Tech ME (Mechanical Engineering),4,650000,Dr. Suresh Singh,120,Pune/Mumbai/Chennai
course,5,B.Tech CE (Civil Engineering),4,620000,Dr. Anita Patel,100,Delhi/Noida/Ahmedabad
course,6,B.Tech EE (Electrical Engineering),4,640000,Dr. Manoj Kumar,110,Hyderabad/Chennai/Kolkata
course,7,B.Tech AI (Artificial Intelligence),4,820000,Dr. Meena Saxena,170,Bangalore/Noida/Hyderabad
course,8,B.Tech DS (Data Science),4,800000,Dr. Kavita Gupta,160,Bangalore/Hyderabad/Mumbai
course,9,B.Tech CY (Cyber Security),4,780000,Dr. Sanjay Nair,130,Delhi/Bangalore/Pune
course,10,B.Tech CC (Cloud Computing),4,720000,Dr. Pooja Joshi,140,Mumbai/Bangalore/Hyderabad
course,11,B.Tech ML (Machine Learning),4,810000,Dr. Rohit Chauhan,155,Bangalore/Pune/Chennai
course,12,B.Tech RB (Robotics Engineering),4,750000,Dr. Geeta Bajaj,65,Bangalore/Hyderabad/Pune
course,13,B.Tech AE (Aerospace Engineering),4,720000,Dr. Pradeep Iyer,60,Bangalore/Hyderabad/Delhi
course,14,B.Tech BT (Biotechnology),4,590000,Dr. Sunita Pillai,80,Bangalore/Hyderabad/Delhi
course,15,B.Tech CH (Chemical Engineering),4,610000,Dr. Ramesh Reddy,75,Mumbai/Chennai/Pune
course,16,BCA (Bachelor of Computer Applications),3,450000,Dr. Neha Mishra,120,Lucknow/Jaipur/Bhopal
course,17,BBA (Bachelor of Business Administration),3,480000,Dr. Vikram Rao,150,Mumbai/Delhi/Jaipur
course,18,BSC (Bachelor of Science - CS),3,380000,Dr. Alok Sinha,100,Indore/Bhopal/Jabalpur
course,19,MBA (Master of Business Administration),2,600000,Dr. Vikram Rao,100,Mumbai/Delhi/Bangalore
course,20,MCA (Master of Computer Applications),2,500000,Dr. Alok Sinha,90,Pune/Hyderabad/Chennai
teacher,1,Dr. Anil Sharma,B.Tech CSE,Professor & HOD,PhD IIT Delhi,25 years,Best Teacher Award 2022
teacher,2,Dr. Priya Mehta,B.Tech IT,Professor & HOD,PhD IIT Bombay,18 years,Research Excellence Award 2021
teacher,3,Dr. Ravi Verma,B.Tech ECE,Professor & HOD,PhD IISc Bangalore,22 years,Innovation Award 2020
teacher,4,Dr. Suresh Singh,B.Tech ME,Professor & HOD,PhD IIT Kanpur,20 years,Best Researcher 2023
teacher,5,Dr. Anita Patel,B.Tech CE,Associate Professor & HOD,PhD NIT Surat,15 years,Young Scientist Award 2022
teacher,6,Dr. Manoj Kumar,B.Tech EE,Professor & HOD,PhD IIT Roorkee,19 years,Best Faculty Award 2022
teacher,7,Dr. Kavita Gupta,B.Tech DS,Associate Professor & HOD,PhD IIT Hyderabad,12 years,AI Researcher Award 2023
teacher,8,Dr. Sanjay Nair,B.Tech CY,Assistant Professor & HOD,PhD IIT Madras,10 years,Cybersecurity Expert of Year 2023
teacher,9,Dr. Pooja Joshi,B.Tech CC,Associate Professor & HOD,PhD IIT Kharagpur,13 years,Cloud Pioneer Award 2022
teacher,10,Dr. Vikram Rao,MBA/BBA,Professor & HOD,PhD IIM Ahmedabad,24 years,Best Management Educator 2023
teacher,11,Dr. Neha Mishra,BCA,Associate Professor & HOD,PhD Pune University,11 years,Digital Innovation Award 2022
teacher,12,Dr. Alok Sinha,BSC/MCA,Professor & HOD,PhD Delhi University,17 years,Programming Excellence Award 2021
teacher,13,Dr. Sunita Pillai,B.Tech BT,Associate Professor & HOD,PhD AIIMS Delhi,14 years,Biotech Innovator Award 2023
teacher,14,Dr. Ramesh Reddy,B.Tech CH,Professor & HOD,PhD IIT Chennai,21 years,Chemical Engineering Award 2020
teacher,15,Dr. Pradeep Iyer,B.Tech AE,Professor & HOD,PhD IISc Bangalore,26 years,Aerospace Excellence Award 2021
teacher,16,Dr. Meena Saxena,B.Tech AI/ML,Associate Professor & HOD,PhD IIT Gandhinagar,9 years,Young AI Researcher 2023
teacher,17,Dr. Rohit Chauhan,B.Tech ML,Assistant Professor,PhD IIT Jodhpur,7 years,Rising Star Award 2023
teacher,18,Dr. Geeta Bajaj,B.Tech RB,Professor & HOD,PhD Carnegie Mellon USA,23 years,Robotics Innovation Award 2022
teacher,19,Dr. Harpreet Kaur,Environmental Engg,Associate Professor & HOD,PhD IIT Delhi,16 years,Green Technology Award 2023
teacher,20,Dr. Subhash Das,Food Technology,Professor & HOD,PhD CFTRI Mysore,20 years,Food Science Excellence Award
teacher,21,Mr. Ajay Tiwari,Mathematics,Associate Professor,MSc IIT Bombay,14 years,Teaching Excellence Award 2022
teacher,22,Mrs. Rekha Pandey,Physics,Associate Professor,MSc Delhi University,12 years,Best Lab Mentor Award 2023
teacher,23,Mr. Devendra Kulkarni,Chemistry,Assistant Professor,MSc Pune University,8 years,Research Contribution Award 2022
teacher,24,Dr. Pallavi Desai,English Communication,Professor,PhD Osmania University,18 years,Best Communication Trainer 2021
teacher,25,Mr. Nitin Jain,Physical Education,Senior Trainer,MSc Sports Science Pune,10 years,Sports Excellence Award 2023
teacher,26,Dr. Kiran Bose,BBA,Associate Professor,PhD MDU Rohtak,13 years,Best Business Educator 2023
teacher,27,Mr. Rakesh Sharma,BSC Physics,Assistant Professor,MSc Vikram University,9 years,Science Mentor Award 2022
teacher,28,Dr. Anjali Srivastava,BSC Mathematics,Associate Professor,PhD DAVV Indore,11 years,Outstanding Researcher 2023
teacher,29,Dr. Sameer Dubey,MBA Finance,Professor,PhD IIM Indore,16 years,Finance Expert Award 2022
teacher,30,Ms. Divya Patel,BCA Web Dev,Assistant Professor,MCA RGPV Bhopal,6 years,Young Innovator Award 2023
placement,1,Tata Consultancy Services,Software Engineer,8.5,2024,B.Tech CSE/IT,Bangalore
placement,2,Infosys,Systems Engineer,7.2,2024,B.Tech CSE/IT/ECE,Pune
placement,3,Wipro,Software Developer,6.8,2024,B.Tech CSE/IT,Hyderabad
placement,4,HCL Technologies,Technical Associate,6.5,2024,B.Tech CSE/IT/ECE,Noida
placement,5,Accenture,Associate Software Engineer,7.0,2024,B.Tech CSE/IT,Bangalore
placement,6,Cognizant,Programmer Analyst,6.5,2024,B.Tech CSE/IT,Chennai
placement,7,Capgemini,Software Analyst,6.2,2024,B.Tech CSE/IT/ME,Mumbai
placement,8,Tech Mahindra,Software Engineer,7.5,2024,B.Tech CSE/IT,Pune
placement,9,Google,Software Engineer L3,28.0,2024,B.Tech CSE/IT/DS,Bangalore
